,Data_Atualizacao,Produto,Categoria,Quantidade,Preco_Unitario,Valor_Estoque
30,08/12/2023,Notebook,Eletrônicos,6,54.61,327.65999999999997
35,02/02/2023,Mouse,Eletrônicos,4,393.09,1572.36
47,21/03/2023,Papel Higiênico,Higiene,3,317.44,952.3199999999999
79,27/03/2023,Água Sanitária,Limpeza,9,305.53,2749.7699999999995
102,26/11/2023,Arroz,Alimentos,2,423.23,846.46
130,24/09/2023,Sabão em Pó,Limpeza,7,463.33,3243.31
143,25/09/2023,Papel Higiênico,Higiene,3,495.82,1487.46
152,03/07/2023,Esponja,Limpeza,9,93.36,840.24
176,10/11/2023,Fone de Ouvido,Eletrônicos,8,43.73,349.84
355,01/02/2023,Açúcar,Alimentos,9,410.3,3692.7000000000003
405,22/09/2023,Feijão,Alimentos,6,263.43,1580.58
420,28/07/2023,Detergente,Limpeza,1,324.69,324.69
456,02/05/2023,Detergente,Limpeza,2,46.39,92.78
463,09/01/2023,Água Sanitária,Limpeza,7,291.8,2042.6000000000001
495,24/11/2023,Sabão em Pó,Limpeza,9,293.84,2644.56
524,19/05/2023,Pasta de Dente,Higiene,9,165.11,1485.9900000000002
541,12/10/2023,Fone de Ouvido,Eletrônicos,4,58.37,233.48
586,13/05/2023,Desodorante,Higiene,9,391.84,3526.56
